group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct
small_cluster,21,cluster_21,Fam161a,7.323077,3.3139524,2.4234805385817344e-13,6.55899411110215e-12,0.5454545454545454,0.09797752808988765,0.4474770173646578
small_cluster,21,cluster_21,Bnip3,7.2978477,3.3036382,2.924067278458281e-13,7.900762344974344e-12,0.5909090909090909,0.11700374531835206,0.4739053455907389
small_cluster,21,cluster_21,Gm5617,7.283019,3.3842134,3.2643141845900894e-13,8.791135786775378e-12,0.7272727272727273,0.19385767790262173,0.5334150493701055
small_cluster,21,cluster_21,Adgb,7.2812524,4.016273,3.307357389564913e-13,8.892453860041662e-12,0.22727272727272727,0.017827715355805244,0.20944501191692202
small_cluster,21,cluster_21,Thop1,7.2483244,3.2905767,4.2195845677666007e-13,1.1300434015329868e-11,0.45454545454545453,0.06741573033707865,0.3871297242083759
small_cluster,21,cluster_21,Cetn2,7.228402,3.4328313,4.887092280429561e-13,1.3033040730296786e-11,0.8636363636363636,0.3295880149812734,0.5340483486550902
small_cluster,21,cluster_21,Dnaja4,7.1795645,2.9323053,6.993393409846166e-13,1.8440296674419126e-11,0.9090909090909091,0.3180524344569288,0.5910384746339803
small_cluster,21,cluster_21,B9d2,7.178884,3.1433961,7.028279251180997e-13,1.8502537399457387e-11,0.6363636363636364,0.14112359550561798,0.49524004085801837
small_cluster,21,cluster_21,Cby1,7.134641,3.1031706,9.704001425293093e-13,2.546485238019712e-11,0.6818181818181818,0.1604494382022472,0.5213687436159345
small_cluster,21,cluster_21,Kbtbd11,7.1286216,3.367135,1.0137892279909878e-12,2.650702825592338e-11,0.36363636363636365,0.0450936329588015,0.31854273067756217
small_cluster,21,cluster_21,Dynlt1f,7.1284623,2.9693468,1.0149633403280217e-12,2.650702825592338e-11,0.8636363636363636,0.31835205992509363,0.54528430371127
small_cluster,21,cluster_21,Bphl,7.1027966,2.8830776,1.2225718146822312e-12,3.182761957556076e-11,0.9545454545454546,0.48359550561797754,0.47094994892747705
small_cluster,21,cluster_21,Ccnc,7.087136,2.997336,1.3691615515966378e-12,3.547491091269582e-11,0.5,0.08179775280898877,0.41820224719101123
small_cluster,21,cluster_21,Nphp1,7.0661917,3.0750427,1.5924338979137174e-12,4.119480813830107e-11,0.6363636363636364,0.14337078651685392,0.49299284984678243
small_cluster,21,cluster_21,Ly6c1,7.0484347,3.7722497,1.809418846505045e-12,4.6587564366607915e-11,0.5,0.090187265917603,0.409812734082397
small_cluster,21,cluster_21,Necab2,7.01294,3.3264046,2.333614177155468e-12,5.989609721365701e-11,0.36363636363636365,0.046591760299625466,0.3170446033367382
small_cluster,21,cluster_21,Psmd9,6.996712,2.8810961,2.6203900586374752e-12,6.673449899334353e-11,0.8181818181818182,0.2453932584269663,0.5727885597548519
small_cluster,21,cluster_21,Ndufaf3,6.9806523,2.9289975,2.9381251557087972e-12,7.334580011990866e-11,0.8636363636363636,0.3048689138576779,0.5587674497786858
small_cluster,21,cluster_21,Ap3s1,6.9648814,2.87421,3.2868052130067942e-12,8.192536823483956e-11,0.5,0.08419475655430711,0.4158052434456929
small_cluster,21,cluster_21,Sirt3,6.9353166,3.1648932,4.053126519729434e-12,1.0056781853265121e-10,0.5454545454545454,0.10546816479400749,0.4399863806605379
small_cluster,21,cluster_21,Wdr34,6.9288673,3.1264024,4.242228898250108e-12,1.051009005441088e-10,0.5454545454545454,0.10322097378277154,0.4422335716717739
small_cluster,21,cluster_21,Lrwd1,6.923841,2.8729153,4.395597137691349e-12,1.0873633281338736e-10,0.45454545454545453,0.0696629213483146,0.38488253319713994
small_cluster,21,cluster_21,Cfap20,6.9232893,2.9247432,4.412760160234512e-12,1.0899650510241903e-10,0.9090909090909091,0.3752808988764045,0.5338100102145046
small_cluster,21,cluster_21,Ddo,6.9195447,3.9392447,4.530978066067999e-12,1.1174822746102444e-10,0.22727272727272727,0.01962546816479401,0.20764725910793325
small_cluster,21,cluster_21,Ssbp4,6.913211,2.7564409,4.73804656677601e-12,1.166797323448849e-10,0.8181818181818182,0.2452434456928839,0.5729383724889343
small_cluster,21,cluster_21,Med31,6.8906093,2.9069014,5.55539879561785e-12,1.3626488400250422e-10,0.8181818181818182,0.25213483146067417,0.5660469867211441
small_cluster,21,cluster_21,1700112E06Rik,6.858147,3.0351362,6.97593335447747e-12,1.707646014131119e-10,0.4090909090909091,0.05947565543071161,0.3496152536601975
small_cluster,21,cluster_21,Ruvbl2,6.836646,3.0087779,8.10687616239386e-12,1.9785844633842515e-10,0.7727272727272727,0.23820224719101124,0.5345250255362615
small_cluster,21,cluster_21,Tex9,6.831841,3.2833624,8.383174772083784e-12,2.0429784463142073e-10,0.22727272727272727,0.01962546816479401,0.20764725910793325
small_cluster,21,cluster_21,Stx19,6.7930026,3.3722782,1.0982346615689381e-11,2.668466175465504e-10,0.36363636363636365,0.04973782771535581,0.31389853592100786
small_cluster,21,cluster_21,Mrps17,6.7906675,2.799902,1.1161569750974235e-11,2.704001558134836e-10,0.9090909090909091,0.37228464419475654,0.5368062648961525
small_cluster,21,cluster_21,Cib1,6.78451,2.450677,1.1648092176507349e-11,2.8177044216356497e-10,1.0,0.6149812734082397,0.3850187265917603
small_cluster,21,cluster_21,Wdr54,6.761012,3.4933252,1.3703090674738118e-11,3.305064561123233e-10,0.2727272727272727,0.028614232209737828,0.24411304051753488
small_cluster,21,cluster_21,Spata6,6.7279425,2.9903338,1.7207916421036237e-11,4.138226352220166e-10,0.5,0.09048689138576779,0.4095131086142322
small_cluster,21,cluster_21,Nat9,6.7199926,2.99961,1.8173359488862014e-11,4.3640010099096035e-10,0.7272727272727273,0.20569288389513107,0.5215798433775962
small_cluster,21,cluster_21,Ppp1r14c,6.717703,2.8066661,1.8461182280457775e-11,4.4201730011939846e-10,0.6363636363636364,0.1439700374531835,0.49239359891045287
small_cluster,21,cluster_21,Ift140,6.699782,3.767872,2.0873066550214288e-11,4.956475193454384e-10,0.22727272727272727,0.020674157303370785,0.2065985699693565
small_cluster,21,cluster_21,Ift74,6.6929455,3.0910864,2.1872267160658215e-11,5.183916961010916e-10,0.5454545454545454,0.10906367041198502,0.4363908750425604
small_cluster,21,cluster_21,Dgat2,6.692403,3.6403716,2.1953540515756722e-11,5.195671255395757e-10,0.2727272727272727,0.029662921348314608,0.2430643513789581
small_cluster,21,cluster_21,Cct7,6.67235,2.6210642,2.5173978963353577e-11,5.949256901699741e-10,0.9545454545454546,0.4749063670411985,0.4796390875042561
small_cluster,21,cluster_21,Swi5,6.6716633,2.4537497,2.529207247326026e-11,5.968565188977577e-10,1.0,0.7823220973782772,0.21767790262172282
small_cluster,21,cluster_21,1700001O22Rik,6.660552,3.9767108,2.7280103962337905e-11,6.419239384308522e-10,0.2727272727272727,0.03056179775280899,0.24216547497446372
small_cluster,21,cluster_21,Poc5,6.652947,3.4512975,2.8728139948891347e-11,6.750289732117005e-10,0.2727272727272727,0.02951310861423221,0.2432141641130405
small_cluster,21,cluster_21,Rab28,6.6462812,2.7585578,3.0059018769160703e-11,7.042828097614353e-10,0.7727272727272727,0.2458426966292135,0.5268845760980592
small_cluster,21,cluster_21,Glrx5,6.5901365,2.5045726,4.394221350504675e-11,1.0280973519205018e-09,1.0,0.5585018726591761,0.44149812734082394
small_cluster,21,cluster_21,Gng13,6.57752,2.185995,4.783595008712582e-11,1.1144281496860093e-09,0.2727272727272727,0.029213483146067417,0.2435137895812053
small_cluster,21,cluster_21,Mak,6.5707355,3.257075,5.0067308023287995e-11,1.1647573317587894e-09,0.22727272727272727,0.020973782771535582,0.20629894450119168
small_cluster,21,cluster_21,Kif19a,6.5356584,3.3678737,6.333028639127781e-11,1.4649929860413926e-09,0.3181818181818182,0.04104868913857678,0.2771331290432414
small_cluster,21,cluster_21,Cluap1,6.501083,3.0085938,7.974374708509101e-11,1.8394897270641036e-09,0.5454545454545454,0.11565543071161048,0.4297991147429349
small_cluster,21,cluster_21,Mcee,6.445835,3.0523782,1.1496546868650235e-10,2.582943358804555e-09,0.8181818181818182,0.370187265917603,0.44799455226421525
small_cluster,21,cluster_21,Akip1,6.4403834,2.727088,1.1917198991934946e-10,2.67013634790608e-09,0.8181818181818182,0.30696629213483145,0.5112155260469868
small_cluster,21,cluster_21,Rwdd3,6.4359207,3.5124533,1.2272713565576121e-10,2.742299389496103e-09,0.3181818181818182,0.04224719101123595,0.2759346271705822
small_cluster,21,cluster_21,Ccdc64,6.4042,3.9108825,1.511598526136158e-10,3.373024139749541e-09,0.22727272727272727,0.022771535580524343,0.20450119169220293
small_cluster,21,cluster_21,Drc7,6.3986664,3.4619465,1.5673995051057178e-10,3.4927879460922388e-09,0.22727272727272727,0.022322097378277155,0.20495062989445012
small_cluster,21,cluster_21,Ccdc81,6.3899455,3.510393,1.6594508923219633e-10,3.6878935074488512e-09,0.22727272727272727,0.022322097378277155,0.20495062989445012
small_cluster,21,cluster_21,Sec14l3,6.382573,2.950718,1.7413705524477362e-10,3.8594889771209895e-09,0.9090909090909091,0.46831460674157305,0.440776302349336
small_cluster,21,cluster_21,Pim2,6.375579,3.1089518,1.8227330324506785e-10,4.02892782550183e-09,0.3181818181818182,0.041797752808988765,0.2763840653728294
small_cluster,21,cluster_21,St3gal6,6.3706903,3.0952559,1.881790588311641e-10,4.153869103485764e-09,0.36363636363636365,0.0549812734082397,0.30865509022812393
small_cluster,21,cluster_21,Ass1,6.3676867,3.40957,1.9190028113143474e-10,4.23031789090949e-09,0.36363636363636365,0.05573033707865169,0.30790602655771193
small_cluster,21,cluster_21,Tuba1b,6.3223624,2.636157,2.575942935632378e-10,5.6481337015115815e-09,1.0,0.787565543071161,0.212434456928839
small_cluster,21,cluster_21,Wdr63,6.319915,3.46323,2.6170753707104193e-10,5.730661302406087e-09,0.22727272727272727,0.022771535580524343,0.20450119169220293
small_cluster,21,cluster_21,Pebp1,6.3047886,2.3978052,2.885872841286323e-10,6.285683993351525e-09,0.9090909090909091,0.5439700374531835,0.36512087163772555
small_cluster,21,cluster_21,Got1,6.288168,3.0040047,3.212340459307141e-10,6.968994163107992e-09,0.4090909090909091,0.06936329588014982,0.3397276132107593
small_cluster,21,cluster_21,Serpinb12,6.2566123,3.4280024,3.934296382475001e-10,8.523962347288308e-09,0.2727272727272727,0.03295880149812734,0.23976847122914535
small_cluster,21,cluster_21,Tmem138,6.229003,2.8606167,4.694135099487626e-10,1.0156795483733055e-08,0.45454545454545453,0.0850936329588015,0.369451821586653
small_cluster,21,cluster_21,Ttc30b,6.1670127,3.6174757,6.959221254293731e-10,1.4861743202040557e-08,0.2727272727272727,0.03445692883895131,0.2382703438883214
small_cluster,21,cluster_21,Clic6,6.1266356,2.736499,8.975686018010886e-10,1.909341457605662e-08,0.7272727272727273,0.24569288389513108,0.4815798433775962
small_cluster,21,cluster_21,Kctd8,6.113807,3.2590046,9.72819181915559e-10,2.064063053376078e-08,0.22727272727272727,0.02397003745318352,0.20330268981954375
small_cluster,21,cluster_21,Ift20,6.1006346,2.5141215,1.0564833410716467e-09,2.2386800099374775e-08,0.9545454545454546,0.5096629213483146,0.44488253319714
small_cluster,21,cluster_21,Wdyhv1,6.0907664,2.6525893,1.1237141381958761e-09,2.378069107167815e-08,0.45454545454545453,0.08584269662921348,0.3687027579162411
small_cluster,21,cluster_21,Dalrd3,6.0828385,2.8117614,1.1807329412354964e-09,2.4923038570403316e-08,0.7272727272727273,0.25617977528089886,0.47109295199182843
small_cluster,21,cluster_21,Phtf1,6.082151,3.1652484,1.1858094514705907e-09,2.499802161127141e-08,0.36363636363636365,0.059775280898876404,0.30386108273748724
small_cluster,21,cluster_21,Crip1,6.0780244,2.7094135,1.2167211151697797e-09,2.5583901294743022e-08,1.0,0.7763295880149813,0.2236704119850187
small_cluster,21,cluster_21,Aldh1a1,6.0594044,2.1840198,1.3662632712104945e-09,2.861824254294166e-08,1.0,0.7904119850187266,0.20958801498127344
small_cluster,21,cluster_21,Itgb3bp,6.0447187,3.1615796,1.4967101287749373e-09,3.12998280327555e-08,0.2727272727272727,0.03460674157303371,0.238120531154239
small_cluster,21,cluster_21,1700016C15Rik,6.030562,3.3336966,1.6339033603718526e-09,3.400716879880553e-08,0.22727272727272727,0.024719101123595506,0.20255362614913175
small_cluster,21,cluster_21,Tpm4,6.00859,2.385082,1.87143337480099e-09,3.812842084485843e-08,0.8636363636363636,0.3517602996254682,0.5118760640108955
small_cluster,21,cluster_21,Pla2g16,5.992601,2.634411,2.0651113454359256e-09,4.1918182149127e-08,0.7727272727272727,0.33318352059925094,0.43954375212802177
small_cluster,21,cluster_21,Ppp1r14d,5.973814,3.3081367,2.317700913172811e-09,4.6987160292889085e-08,0.36363636363636365,0.06352059925093632,0.3001157643854273
small_cluster,21,cluster_21,Hist1h2bc,5.970284,2.3190982,2.3684100253499777e-09,4.7896785235221926e-08,0.9545454545454546,0.7369288389513109,0.2176166155941437
small_cluster,21,cluster_21,Ruvbl1,5.966188,2.933651,2.428607429543886e-09,4.89933461893595e-08,0.5454545454545454,0.13588014981273408,0.4095743956418113
small_cluster,21,cluster_21,Prr14l,5.963921,3.2827258,2.462560515846273e-09,4.961726660982153e-08,0.22727272727272727,0.025168539325842697,0.20210418794688456
small_cluster,21,cluster_21,Rfk,5.9505663,2.3192995,2.6721616200156686e-09,5.370848373759434e-08,0.9090909090909091,0.4943820224719101,0.41470888661899896
small_cluster,21,cluster_21,Dpy30,5.937879,2.5948656,2.8873308657387714e-09,5.796219526191137e-08,0.9090909090909091,0.5032209737827715,0.40586993530813753
small_cluster,21,cluster_21,Usp18,5.9316673,2.7040017,2.998740793593918e-09,6.01251195057871e-08,0.7272727272727273,0.2536329588014981,0.4736397684712292
small_cluster,21,cluster_21,Hsp90aa1,5.9304547,2.301393,3.0209680725195657e-09,6.049682217019951e-08,1.0,0.7514606741573033,0.24853932584269667
small_cluster,21,cluster_21,Pip5k1b,5.9297495,2.902315,3.0339699773637493e-09,6.0683099510662e-08,0.2727272727272727,0.03520599250936329,0.23752128021790941
small_cluster,21,cluster_21,Rfx3,5.9176965,3.1041303,3.2648129694890698e-09,6.522070342581027e-08,0.22727272727272727,0.025168539325842697,0.20210418794688456
small_cluster,21,cluster_21,Fam149a,5.91043,3.114465,3.4121609247645706e-09,6.808132764849602e-08,0.2727272727272727,0.035805243445692886,0.23692202928157982
