group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct,marker_rank
small_cluster,20,cluster_20,1700026L06Rik,21.860138,6.239026,6.225561102879369e-106,7.29324483202318e-103,0.9393939393939394,0.05567226890756303,0.8837216704863764,14
small_cluster,20,cluster_20,Fam92b,21.665785,5.954219,4.314874869265633e-104,4.7178841820550435e-101,0.8484848484848485,0.04531812725090036,0.8031667212339482,15
small_cluster,20,cluster_20,Ccdc146,21.638412,5.7105064,7.814912072126844e-104,8.010773305934523e-101,0.7272727272727273,0.032563025210084036,0.6947097020626433,16
small_cluster,20,cluster_20,Iqcg,21.622011,5.39786,1.1150851907985288e-103,1.07579483613451e-100,0.7878787878787878,0.03811524609843937,0.7497635417803484,17
small_cluster,20,cluster_20,Ak8,21.609455,5.9579997,1.463669479576464e-103,1.3336468408074214e-100,0.7575757575757576,0.03601440576230492,0.7215613518134526,18
small_cluster,20,cluster_20,Tekt4,21.389887,5.608447,1.6596083261271986e-101,1.4325913766743257e-98,0.7878787878787878,0.0391656662665066,0.7487131216122812,19
small_cluster,20,cluster_20,Morn3,21.315248,5.607942,8.197063698718198e-101,6.722002086133859e-98,0.696969696969697,0.030612244897959183,0.6663574520717378,20
small_cluster,19,cluster_19,Scg2,63.317867,11.483277,0.0,0.0,0.723404255319149,0.0010526315789473684,0.7223516237402016,1
small_cluster,19,cluster_19,Chga,57.10831,11.327501,0.0,0.0,0.9787234042553191,0.007067669172932331,0.9716557350823868,2
small_cluster,19,cluster_19,Tcerg1l,57.002003,10.126648,0.0,0.0,0.6595744680851063,0.0016541353383458647,0.6579203327467604,3
small_cluster,19,cluster_19,Ddc,55.820084,10.102855,0.0,0.0,0.6382978723404256,0.0016541353383458647,0.6366437370020797,4
small_cluster,19,cluster_19,Chgb,55.8156,10.14388,0.0,0.0,0.6382978723404256,0.0016541353383458647,0.6366437370020797,5
small_cluster,19,cluster_19,Ngf,55.39422,9.959657,0.0,0.0,0.8936170212765957,0.006015037593984963,0.8876019836826108,6
small_cluster,19,cluster_19,Scg5,54.802715,10.262329,0.0,0.0,0.9787234042553191,0.008270676691729323,0.9704527275635898,7
small_cluster,19,cluster_19,Ly6h,54.466404,10.220707,0.0,0.0,0.6595744680851063,0.002255639097744361,0.6573188289873619,8
small_cluster,19,cluster_19,Tmem163,54.42433,9.595219,0.0,0.0,0.6595744680851063,0.002255639097744361,0.6573188289873619,9
small_cluster,19,cluster_19,Snap25,54.084476,9.918982,0.0,0.0,0.5957446808510638,0.0015037593984962407,0.5942409214525676,10
small_cluster,19,cluster_19,Pgf,52.32792,10.369733,0.0,0.0,0.5531914893617021,0.0013533834586466164,0.5518381059030555,11
small_cluster,19,cluster_19,Pkib,50.510445,9.906479,0.0,0.0,0.9574468085106383,0.01037593984962406,0.9470708686610143,12
small_cluster,19,cluster_19,Spock3,50.415398,11.078352,0.0,0.0,0.46808510638297873,0.0007518796992481203,0.4673332266837306,13
small_cluster,19,cluster_19,Stmn3,50.21515,9.830747,0.0,0.0,0.5531914893617021,0.0018045112781954887,0.5513869780835067,14
small_cluster,19,cluster_19,Uchl1,49.139126,9.200033,0.0,0.0,0.723404255319149,0.005112781954887218,0.7182914733642618,15
small_cluster,19,cluster_19,Scn9a,49.019676,10.0860195,0.0,0.0,0.44680851063829785,0.0007518796992481203,0.44605663093904974,16
small_cluster,19,cluster_19,Elavl4,48.611885,9.698905,0.0,0.0,0.46808510638297873,0.0010526315789473684,0.4670324748040314,17
small_cluster,19,cluster_19,Pcsk1,47.796757,9.851652,0.0,0.0,0.46808510638297873,0.0012030075187969924,0.46688209886418175,18
small_cluster,19,cluster_19,Cxcl13,47.341537,11.077526,0.0,0.0,0.8297872340425532,0.008721804511278195,0.8210654295312749,19
small_cluster,19,cluster_19,Snca,46.86277,9.442184,0.0,0.0,0.574468085106383,0.0030075187969924814,0.5714605663093906,20
small_cluster,18,cluster_18,Lman1l,44.724472,9.288329,0.0,0.0,0.47692307692307695,0.0027141133896260556,0.4742089635334509,1
