Dataset,Method,cluster_id,cluster_size,dominant_label,dominant_count,dominant_frac,top3,label_entropy,tp,fp,fn,tn,f1,precision,is_dominant_rare,n_rare_types_hit,hit_types
Airway.h5,RAG,53,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,54,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,55,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,56,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,57,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,58,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,59,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,6,333,Club,329,0.987987987987988,Club:329;Goblet:3;Tuft:1,0.07180964653056188,329,4,2143,4221,0.23458110516934041,0.987987987987988,False,0,
Airway.h5,RAG,60,2,Ciliated,2,1.0,Ciliated:2,-1.000088900581841e-12,2,0,351,6344,0.011267605633802816,1.0,False,0,
Airway.h5,RAG,61,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,62,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,63,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,64,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,65,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,66,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,67,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,68,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,69,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,7,314,Basal,302,0.9617834394904459,Basal:302;Club:11;Ionocyte:1,0.17319614753584986,302,12,3270,3113,0.15542974781266083,0.9617834394904459,False,0,
Airway.h5,RAG,70,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,71,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,72,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
